회사이름,회사코드,주식가격,가격변동,시가총액,per,업종1,업종2,신용도1,신용도2,신용도3,매출2016,매출2017,매출2018,매출2019,매출2020,4년전대비,3년전대비,2년전대비,1년전대비,자산2016,자산2017,자산2018,자산2019,자산2020,부채2016,부채2017,부채2018,부채2019,부채2020,자본2016,자본2017,자본2018,자본2019,자본2020,유보율16,유보율17,유보율18,유보율19,유보율20,매출-4,매출-3,매출-2,매출-1,매출-0,4분기전대비,3분기전대비,2분기전대비,1분기전대비,자산-4,자산-3,자산-2,자산-1,자산-0,부채-4,부채-3,부채-2,부채-1,부채-0,유보-4,유보-3,유보-2,유보-1,유보-0
셀리드,299660,43450,350,4228.0,,KOSDAQ  코스닥 기타서비스,FICS  바이오,A,A,,0.0,0.0,0.0,0.0,0.0,,,,,38,50,142,525,494,40,105,7,12,21,-2,-55,135,513,473,,,228.72,971.75,875.3, ,0, , , ,,,,, ,494, , , , ,21, , , , ,875.3, , , 
이오플로우,294090,47750,950,5525.0,,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,A,A,B--,0.0,0.0,0.0,0.0,0.0,,,,,13,31,98,100,292,13,131,36,65,43,1,-101,61,35,248,,,597.12,273.15,2106.3,0,0,0,1,3,,,,3.0,331,292,625,581,620,101,43,347,344,395,1988.38,2106.3,2329.24,1951.92,1772.92
큐리언트,115180,30300,0,2692.0,,KOSDAQ  코스닥 기타서비스,FICS  제약,,,,0.0,0.0,0.0,0.0,0.0,,,,,262,157,432,205,608,19,11,38,31,39,243,145,394,174,570,573.79,284.14,714.74,257.14,881.64,0,0,0,0,14,,,,,79,608,557,493,450,42,39,49,46,55,,881.64,778.47,671.19,575.95
메드팩토,235980,58500,-300,11999.0,,KOSDAQ  코스닥 기타서비스,FICS  제약,A,A,,,0.0,0.0,0.0,0.0,,,,, ,13,318,807,585, ,116,272,20,28, ,-103,46,787,557, ,,17.83,1458.71,448.03,0,0, , ,0,,,,, ,585, , ,1398, ,28, , ,895, ,448.03, , ,390.46
카이노스메드,284620,2350,30,2590.0,,KOSDAQ  코스닥 기타서비스,FICS  제약,A,A,,22.0,22.0,0.0,0.0,0.0,0.0,0.0,,,12,76,82,56,348,15,14,2,6,218,-3,61,80,50,130,,,16.7,,17.93,0,0,1,2,2,,,2.0,1.0,305,348,347,325,311,162,218,237,255,273,36.29,17.93,,,
박셀바이오,323990,43300,700,6592.0,,KOSDAQ  코스닥 기타서비스,FICS  제약,A,A,,,,0.0,0.0,0.0,,,,, , ,123,100,355, , ,245,10,8, , ,-122,91,347, , ,,178.76,821.64, ,0, , , ,,,,, ,355, , , , ,8, , , , ,821.64, , , 
하나머스트제6호스팩,307160,2035,0,93.0,167.35,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,C,,,0.0,0.0,0.0,,,,, , ,89,90,91, , ,7,7,7, , ,82,83,84, , ,1690.07,1710.15,1722.32, , , ,0, ,,,,, , , ,91, , , , ,7, , , , ,1722.32, 
SK4호스팩,307070,2030,0,105.0,397.26,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,C,,,0.0,0.0,0.0,,,,, , ,99,100,100, , ,7,8,8, , ,91,92,92, , ,1666.82,1684.56,1689.67, , , ,0, ,,,,, , , ,100, , , , ,8, , , , ,1689.67, 
엔에이치스팩13호,310840,2040,0,70.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,,,,,,0.0,0.0,0.0,,,,, , ,79,80,80, , ,14,14,15, , ,65,65,65, , ,1793.55,1810.76,1809.7, , ,0, , ,,,,, , ,80, , , , ,15, , , , ,1809.7, , 
키움제5호스팩,311270,2035,0,73.0,321.99,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,,,,,,0.0,0.0,0.0,,,,, , ,79,80,80, , ,8,8,9, , ,71,71,72, , ,1873.3,1885.12,1891.44, , , ,0, ,,,,, , , ,80, , , , ,9, , , , ,1891.44, 
유안타제4호스팩,313750,2035,0,95.0,264.29,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,,,,,,0.0,0.0,0.0,,,,, , ,18,99,100, , ,11,11,12, , ,7,87,88, , ,1146.1,1781.6,1789.3, ,0, , , ,,,,, ,100, , , , ,12, , , , ,1789.3, , , 
원바이오젠,307280,2020,0,736.0,,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,A,A,C,71.0,80.0,103.0,0.0,0.0,0.0,0.0,0.0,,111,147,132,79,78,74,64,115,11,11,38,84,17,68,67,221.43,502.12,53.94,1731.07,1703.01,33,0, ,47,47,1.4242424242424243,,,1.0, ,78, ,292,296, ,11, ,56,43, ,1703.01, ,575.44,593.04
IBKS제12호스팩,335870,2195,30,68.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,72,72, , , ,12,12, , , ,60,60, , , ,1819.36,1809.41, ,0, , , ,,,,, ,72, , , , ,12, , , , ,1809.41, , , 
교보9호스팩,331520,2115,-5,82.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,88,88, , , ,16,16, , , ,73,72, , , ,1773.79,1764.53, ,0, , , ,,,,, ,88, , , , ,16, , , , ,1764.53, , , 
하나금융16호스팩,343510,2115,-20,85.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,15,83, , , ,9,9, , , ,6,74, , , ,1031.06,1741.91, ,0, , , ,,,,, ,83, , , , ,9, , , , ,1741.91, , , 
케이비제19호스팩,330990,2050,0,88.0,540.9,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,91,92, , , ,9,9, , , ,82,82, , , ,1807.69,1811.47, ,0, , , ,,,,, ,92, , , , ,9, , , , ,1811.47, , , 
신영스팩6호,344050,2130,15,92.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,16,99, , , ,14,14, , , ,2,85, , , ,1896.02,1877.39, ,0, , , ,,,,, ,99, , , , ,14, , , , ,1877.39, , , 
하나금융15호스팩,341160,2140,5,101.0,223.85,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,18,107, , , ,15,15, , , ,3,92, , , ,1407.79,1852.42, ,0, , , ,,,,, ,107, , , , ,15, , , , ,1852.42, , , 
신한제6호스팩,333050,2060,0,103.0,622.36,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,98,99, , , ,7,8, , , ,91,91, , , ,1716.25,1719.56, ,0, , , ,,,,, ,99, , , , ,8, , , , ,1719.56, , , 
대신밸런스제7호스팩,332290,2130,-10,111.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,114,115, , , ,11,11, , , ,103,103, , , ,1887.77,1883.66, ,0, , , ,,,,, ,115, , , , ,11, , , , ,1883.66, , , 
케이비제20호스팩,342550,2070,5,135.0,206.59,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,20,139, , , ,14,14, , , ,6,124, , , ,1073.36,1811.67, ,0, , , ,,,,, ,139, , , , ,14, , , , ,1811.67, , , 
대신밸런스제8호스팩,336570,2675,0,150.0,362.96,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,113,114, , , ,7,7, , , ,106,107, , , ,1792.83,1800.2, ,0, , , ,,,,, ,114, , , , ,7, , , , ,1800.2, , , 
유안타제5호스팩,336060,3200,-80,190.0,215.92,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,128,129, , , ,13,14, , , ,114,115, , , ,1829.24,1844.06, ,0, , , ,,,,, ,129, , , , ,14, , , , ,1844.06, , , 
이베스트이안스팩1호,323210,2040,-5,65.0,181.17,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,71,71, , , ,9,9, , , ,62,62, , , ,1828.02,1839.28, ,0, , , ,,,,, ,71, , , , ,9, , , , ,1839.28, , , 
신영스팩5호,323280,2065,25,72.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,79,80, , , ,10,10, , , ,69,69, , , ,1879.86,1876.41, ,0, , , ,,,,, ,80, , , , ,10, , , , ,1876.41, , , 
상상인이안제2호스팩,329560,2040,-5,79.0,279.84,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,79,79, , , ,8,8, , , ,71,71, , , ,1733.52,1740.82, ,0, , , ,,,,, ,79, , , , ,8, , , , ,1740.82, , , 
하이제5호스팩,340120,2355,0,118.0,195.76,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,101,102, , , ,9,9, , , ,92,93, , , ,1739.55,1751.58, ,0, , , ,,,,, ,102, , , , ,9, , , , ,1751.58, , , 
SK6호스팩,340350,2080,0,119.0,566.76,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,20,129, , , ,16,16, , , ,4,113, , , ,1856.15,1871.58, ,0, , , ,,,,, ,129, , , , ,16, , , , ,1871.58, , , 
미래에셋대우스팩3호,328380,2050,0,133.0,320.81,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,148,149, , , ,22,23, , , ,126,126, , , ,1842.58,1848.97, ,0, , , ,,,,, ,149, , , , ,23, , , , ,1848.97, , , 
케이비제18호스팩,323940,2035,0,159.0,264.63,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,0.0,0.0,,,,, , , ,173,174, , , ,20,21, , , ,153,153, , , ,1851.45,1859.14, ,0, , , ,,,,, ,174, , , , ,21, , , , ,1859.14, , , 
프레스티지바이오파마,950210,20500,0,12320.0,,KSE,FICS  제약,A,A,A,,,,0.0,0.0,,,,, , , ,1601,6042, , , ,223,292, , , ,1378,5750, , , ,,,0,0,0,0,0,,,,, ,1601,5993,6042,6389, ,223,258,292,458, ,,,,
한화에스비아이스팩,317320,2030,0,89.0,763.16,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,,,,,,,0.0,0.0,,,,, , , ,89,90, , , ,8,9, , , ,81,81, , , ,1755.38,1758.05, ,0, , , ,,,,, ,90, , , , ,9, , , , ,1758.05, , , 
케이비17호스팩,317030,2035,0,111.0,251.23,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,,,,,,,0.0,0.0,,,,, , , ,119,120, , , ,15,15, , , ,104,105, , , ,1812.52,1820.62, , ,0, , ,,,,, , ,120, , , , ,15, , , , ,1820.62, , 
프레스티지바이오로직스,334970,9360,-110,4419.0,,KOSDAQ  코스닥 제조,FICS  제약,A,A,,0.0,0.0,0.0,2.0,0.0,,,,0.0,21,262,732,721,502,13,271,723,433,516,9,-9,8,288,-14,,,,62.89,, ,0, , , ,,,,, ,502, , , , ,516, , , , ,, , , 
이지스밸류리츠,334890,5840,0,,6.29,KSE  코스피 서비스업,FICS  부동산,BB,A-,C,374.0,28.0,233.0,,0.0,0.0,0.0,0.0,,1546,1559,1754, ,1559,0,0,9, ,0,1545,1558,1745, ,1558,543.93,549.33,626.96, ,549.33, ,0,374,28,233,,,0.6229946524064172,8.321428571428571, ,15,1546,1559,1754, ,0,0,0,9, ,400.56,543.93,549.33,626.96
신한알파리츠,293940,8020,20,,52.95,KSE  코스피 서비스업,FICS  부동산,A,A,,264.0,378.0,418.0,,0.0,0.0,0.0,0.0,,13788,15334,19055, ,15334,10219,11799,15617, ,11799,3569,3535,3438, ,3535,427.37,420.54,404.72, ,420.54,223,231,264,378,418,1.8744394618834082,1.8095238095238095,1.5833333333333333,1.1058201058201058,7397,8098,13788,15334,19055,4611,5319,10219,11799,15617,439.54,434.62,427.37,420.54,404.72
에이치엠씨제4호스팩,353070,2080,5,90.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,,0.0,,,,, , , , ,96, , , , ,14, , , , ,83, , , , ,1814.59, ,0, , , ,,,,, ,96, , , , ,14, , , , ,1814.59, , , 
에이치엠씨제5호스팩,353060,2080,5,106.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,,0.0,,,,, , , , ,121, , , , ,20, , , , ,101, , , , ,1865.66, ,0, , , ,,,,, ,121, , , , ,20, , , , ,1865.66, , , 
미래에셋대우스팩 5호,353490,2110,-25,107.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,,0.0,,,,, , , , ,117, , , , ,20, , , , ,97, , , , ,1819.61, ,0, , , ,,,,, ,117, , , , ,20, , , , ,1819.61, , , 
교보10호스팩,355150,2150,15,114.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,,0.0,,,,, , , , ,98, , , , ,9, , , , ,90, , , , ,1584.5, ,0, , , ,,,,, ,98, , , , ,9, , , , ,1584.5, , , 
케이프이에스제4호,347140,2060,-30,62.0,1263.8,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,,,,,,0.0,,,,, , , , ,59, , , , ,4, , , , ,54, , , , ,1710.27, ,0, , , ,,,,, ,59, , , , ,4, , , , ,1710.27, , , 
IBKS제15호스팩,373200,2345,10,83.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,C-,,,,,0.0,,,,, , , , ,16, , , , ,12, , , , ,4, , , , ,1192.35, ,0, , , ,,,,, ,16, , , , ,12, , , , ,1192.35, , , 
신한제7호스팩,366330,2070,0,94.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,C-,,,,,0.0,,,,, , , , ,20, , , , ,11, , , , ,8, , , , ,1426.58, ,0, , , ,,,,, ,20, , , , ,11, , , , ,1426.58, , , 
엔에이치스팩18호,365590,2395,80,110.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,C-,,,,,0.0,,,,, , , , ,99, , , , ,18, , , , ,81, , , , ,1658.04, ,0, , , ,,,,, ,99, , , , ,18, , , , ,1658.04, , , 
유안타제7호스팩,367460,2185,0,120.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,C-,,,,,0.0,,,,, , , , ,113, , , , ,15, , , , ,98, , , , ,1684.6, ,0, , , ,,,,, ,113, , , , ,15, , , , ,1684.6, , , 
DB금융스팩8호,367340,2115,10,128.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,C-,,,,,0.0,,,,, , , , ,118, , , , ,9, , , , ,109, , , , ,1704.36, ,0, , , ,,,,, ,118, , , , ,9, , , , ,1704.36, , , 
한국9호스팩,368770,2705,5,130.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,C-,,,,,0.0,,,,, , , , ,16, , , , ,7, , , , ,8, , , , ,942.19, ,0, , , ,,,,, ,16, , , , ,7, , , , ,942.19, , , 
유안타제8호스팩,367480,2090,-10,136.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,C-,,,,,0.0,,,,, , , , ,30, , , , ,25, , , , ,5, , , , ,1885.64, ,0, , , ,,,,, ,30, , , , ,25, , , , ,1885.64, , , 
하나금융17호스팩,363260,2810,0,191.0,,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,A,A,C-,,,,,0.0,,,,, , , , ,28, , , , ,19, , , , ,9, , , , ,981.65, ,0, , , ,,,,, ,28, , , , ,19, , , , ,981.65, , , 
네오이뮨텍(Reg.S),950220,10250,0,10105.0,,KOSDAQ,FICS  제약,A,A,C-,,,,,0.0,,,,, , , , ,956, , , , ,114, , , , ,842, , , , ,4676561.85,0,0,0,0,0,,,,, ,956,2040,1919,1938, ,114,162,155,194, ,4676561.85,8420234.11,7930029.27,7479503.82
파멥신,208340,7610,140,1954.0,,KOSDAQ  코스닥 제조,FICS  바이오,,,BB ,8.0,2.0,0.0,0.0,1.0,0.125,0.5,,,73,75,698,1613,1336,25,52,44,936,878,48,23,654,678,457,93.6,,1804.15,1861.66,542.31,0,1,1,0,0,,0.0,0.0,,1507,1336,1279,816,776,967,878,977,610,196,658.06,542.31,324.88,189.24,352
지놈앤컴퍼니,314130,35450,1400,4790.0,,KOSDAQ  코스닥 제조,FICS  제약,,,,0.0,0.0,0.0,0.0,2.0,,,,,52,29,130,352,1209,0,3,289,745,58,52,26,-159,-393,1151,490.32,49.76,,,1511.96,0,1,1,1,1,,1.0,1.0,1.0, ,1209,1164,1107,1016, ,58,74,64,55, ,1511.96,1432.26,1348.32,1234.02
압타머사이언스,291650,17350,100,1469.0,,KOSDAQ  코스닥 기타서비스,FICS  바이오,BB ,BB ,,1.0,2.0,3.0,4.0,2.0,2.0,1.0,0.6666666666666666,0.5,53,34,110,83,369,10,184,293,14,17,43,-150,-183,69,352,206.91,,,84.87,688.33, ,0, , , ,,,,, ,369, , , , ,17, , , , ,688.33, , , 
에스씨엠생명과학,298060,18600,-600,2236.0,,KOSDAQ  코스닥 제조,FICS  개인생활용품,A,A,,0.0,0.0,0.0,2.0,3.0,,,,1.5,113,64,439,410,763,184,151,885,242,132,-71,-87,-446,169,631,,,,267.41,962.43, ,0, , , ,,,,, ,763, , , , ,132, , , , ,962.43, , , 
압타바이오,293780,34950,-750,7758.0,,KOSDAQ  코스닥 기타서비스,FICS  제약,A,A,B--,6.0,3.0,15.0,10.0,3.0,0.5,1.0,0.2,0.3,126,110,203,774,754,4,425,20,22,34,122,-315,183,752,720,3014.43,,322.49,1281.31,1198.58, ,0, , , ,,,,, ,754, , , , ,34, , , , ,1198.58, , , 
피플바이오,304840,15600,-50,1754.0,,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,A,A,,0.0,0.0,1.0,9.0,5.0,,,5.0,0.5555555555555556,41,24,65,44,107,145,7,11,17,18,-103,17,54,27,88,,,117.01,8.32,212.63,0,0, , ,3,,,,, ,107, , ,486, ,18, , ,324, ,212.63, , ,162.18
신테카바이오,226330,16600,-450,2241.0,,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,A,A,C,,0.0,3.0,5.0,6.0,,,2.0,1.2, ,25,121,479,448, ,53,105,18,32, ,-28,16,461,415, ,,,601.04,521.76, ,0, , , ,,,,, ,448, , , , ,32, , , , ,521.76, , , 
이노테라피,246960,11900,0,600.0,,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,B+ ,B+ ,B,1.0,2.0,5.0,7.0,6.0,6.0,3.0,1.2,0.8571428571428571,70,42,112,172,174,10,11,17,21,43,61,31,95,151,130,845.61,60.69,327.38,498.01,413.17,2,1,2,2,1,0.5,1.0,0.5,0.5,168,174,193,324,335,42,43,78,210,217,399.07,413.17,354.32,349.46,366.99
싸이토젠,217330,56000,100,3255.0,,KOSDAQ  코스닥 기타서비스,FICS  의료 장비 및 서비스,A,A,,9.0,2.0,12.0,8.0,6.0,0.6666666666666666,3.0,0.5,0.75,51,57,228,197,283,46,9,7,18,100,5,47,220,179,183,,115.21,682.46,536.15,550.95, ,0, , , ,,,,, ,283, , , , ,100, , , , ,550.95, , , 
셀리버리,268600,42300,-700,7332.0,,KOSDAQ  코스닥 기타서비스,FICS  바이오,AA-,AA-,AA-,13.0,28.0,45.0,21.0,8.0,0.6153846153846154,0.2857142857142857,0.17777777777777778,0.38095238095238093,22,84,400,309,605,5,28,42,36,221,17,56,358,273,384,,89.69,841.22,597.78,812.75,1,0, , ,0,0.0,,,, ,605, , ,523, ,221, , ,124, ,812.75, , ,358.79
세영디앤씨,52190,8850,0,270.0,,KOSDAQ  코스닥 오락 문화,FICS  미디어,A2 ,A2 ,A2 ,13.0,116.0,60.0,27.0,9.0,0.6923076923076923,0.07758620689655173,0.15,0.3333333333333333,365,311,792,374,306,203,178,435,26,38,162,133,357,348,267,272.98,96.62,158.4,53.28,18.83,1,0,0,0,0,0.0,,,,366,306,42,47,40,38,38,37,34,29,44.95,18.83,42.95,22.7,11.92
CNT85,56730,1550,0,1096.0,,KOSDAQ  코스닥 유통,FICS  건설,BB+,BB+,BB+,35.0,153.0,112.0,72.0,9.0,0.2571428571428571,0.058823529411764705,0.08035714285714286,0.125,413,708,667,282,599,260,380,387,313,373,153,328,280,-31,226,282.13,82,21.52,,,-18,8,70,21,42,-2.3333333333333335,5.25,0.6,2.0,527,599,691,710,759,214,373,468,501,554,,,,,
티움바이오,321550,19150,-100,4580.0,,KOSDAQ  코스닥 기타서비스,FICS  제약,A,A,,,2.0,11.0,11.0,10.0,,5.0,0.9090909090909091,0.9090909090909091, ,101,293,935,854, ,172,6,10,28, ,-71,287,925,825, ,,3099.23,688.57,593.8,0,10,0,0,2,,0.2,,,873,854,815,747,1212,28,28,22,38,216,619.53,593.8,566.67,491.18,665.66
지노믹트리,228760,13500,700,2744.0,,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,A,A,C-,5.0,5.0,4.0,3.0,12.0,2.4,2.4,3.0,4.0,55,104,140,1137,1179,20,21,29,49,226,35,83,111,1088,953,203.33,113.84,39.01,989.95,853.21,1,6,2,22,2,2.0,0.3333333333333333,1.0,0.09090909090909091,1234,1179,1184,1781,1793,239,226,239,661,656,895.87,853.21,845.91,979.63,977.47
참존글로벌,158310,1680,0,804.0,,KOSDAQ  코스닥 제조,FICS  도소매,A,A,,52.0,135.0,49.0,69.0,12.0,0.23076923076923078,0.08888888888888889,0.24489795918367346,0.17391304347826086,354,324,442,403,230,142,133,242,453,838,212,190,200,-49,-608,616.1,484.29,379.01,,,2,2,3,4,24,12.0,12.0,8.0,6.0,296,230,342,216,305,628,838,133,17,32,,,,,13.91
뷰노,338220,18550,50,2079.0,,KOSDAQ  코스닥 IT S/W & SVC,FICS  의료 장비 및 서비스,A,A,,,2.0,1.0,2.0,13.0,,6.5,13.0,6.5, ,22,125,75,96, ,2,15,20,132, ,19,110,54,-36, ,55326.21,246995.19,509.96,,2,0, ,4,3,1.5,,,0.75, ,96, ,399,398, ,132, ,89,129, ,, ,2676.56,2302.25
아스타,246720,4585,-25,581.0,,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,B+ ,B+ ,B,2.0,10.0,17.0,13.0,13.0,6.5,1.3,0.7647058823529411,1.0,68,236,382,258,83,27,92,50,107,19,41,144,332,151,64,6.96,206.3,416.73,158.22,11.92,2,8,3,3,2,1.0,0.25,0.6666666666666666,0.6666666666666666,140,83,72,66,57,12,19,18,21,20,123.65,11.92,,,
서남,294630,3845,10,822.0,,KOSDAQ  코스닥 제조,FICS  에너지 시설 및 서비스,A,A,C-,14.0,50.0,49.0,14.0,14.0,1.0,0.28,0.2857142857142857,1.0,105,85,107,105,160,122,36,35,45,39,-17,49,71,60,121,,,,,18.76, ,0, , , ,,,,, ,160, , , , ,39, , , , ,18.76, , , 
포티스,141020,108,0,188.0,,KOSDAQ  코스닥 유통,FICS  무선통신,A,A,,501.0,464.0,252.0,155.0,15.0,0.029940119760479042,0.032327586206896554,0.05952380952380952,0.0967741935483871,288,356,772,726,919,227,52,440,359,206,61,304,332,367,713,,39.77,40.27,,,0,0,0,0,0,,,,,919,919,919,922,922,206,206,206,149,149,,,,,
젠큐릭스,229000,16400,-100,1076.0,2.92,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,A,A,,6.0,0.0,3.0,1.0,16.0,2.6666666666666665,,5.333333333333333,16.0,119,74,104,24,640,10,10,13,22,101,109,64,91,2,539,371.85,161.66,238.4,,1568.31,2,7,5,3,7,3.5,1.0,1.4,2.3333333333333335,277,640,405,752,649,94,101,94,263,241,450.87,1568.31,850.3,1300.64,1068.44
퀀타매트릭스,317690,10700,-50,1763.0,,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,A,A,C-,,0.0,1.0,8.0,17.0,,,17.0,2.125, ,137,317,332,616, ,404,720,39,42, ,-267,-402,293,574, ,,,374.33,683.34,2,1,1,2,2,1.0,2.0,2.0,1.0,243,616,576,531,499,47,42,44,39,47,203.4,683.34,619.06,560.83,506.83
신라젠,215600,12100,0,12447.0,,KOSDAQ  코스닥 기타서비스,FICS  바이오,A,A,,53.0,69.0,77.0,91.0,17.0,0.32075471698113206,0.2463768115942029,0.22077922077922077,0.18681318681318682,2841,2350,1932,697,474,762,330,281,88,245,2080,2019,1651,610,229,567.76,493.67,372.92,71.68,,1,8,2,0,0,0.0,0.0,0.0,,614,474,463,476,1413,353,245,239,244,259,,,,,124.39
유틸렉스,263050,21850,-150,3382.0,,KOSDAQ  코스닥 제조,FICS  바이오,A,A,,0.0,1.0,4.0,4.0,20.0,,20.0,5.0,5.0,316,585,851,760,1055,57,74,76,132,470,259,511,775,628,585,877.03,1469.26,2033.79,1620.07,645.44,1,12,0,0,0,0.0,0.0,,,915,1055,967,1265,1200,448,470,468,427,395,522.62,645.44,532.12,744.32,704.49
제낙스,65620,506,-419,25.0,3.94,KOSDAQ  코스닥 제조,FICS  금속 및 광물,BB-,BB-,,61.0,62.0,52.0,36.0,21.0,0.3442622950819672,0.3387096774193548,0.40384615384615385,0.5833333333333334,561,373,278,248,157,261,190,186,233,104,299,183,92,15,53,183.89,62.43,,,113.21,6,5, ,0, ,,,,,159,141, ,157, ,103,97, ,104, ,,, ,113.21, 
세기상사,2420,11600,-3550,473.0,,KSE  코스피 서비스업,FICS  석유 및 가스,,,,55.0,56.0,52.0,51.0,22.0,0.4,0.39285714285714285,0.4230769230769231,0.43137254901960786,439,430,427,416,405,198,194,193,191,199,241,237,233,224,206,1083.11,1061.9,1045.53,1000.9,913.1, ,0, , , ,,,,, ,405, , , , ,199, , , , ,913.1, , , 
마이크로디지탈,305090,19850,-150,1441.0,,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,A,A,,44.0,46.0,47.0,39.0,23.0,0.5227272727272727,0.5,0.48936170212765956,0.5897435897435898,38,55,117,232,208,33,51,28,54,132,5,4,89,178,76,,,510,881.01,110.38, ,0, , , ,,,,, ,208, , , , ,132, , , , ,110.38, , , 
올릭스,226950,39400,50,5399.0,,KOSDAQ  코스닥 기타서비스,FICS  바이오,A,A,C,4.0,2.0,3.0,11.0,25.0,6.25,12.5,8.333333333333334,2.272727272727273,151,216,556,452,786,26,30,7,34,332,126,187,549,418,454,454.86,617.56,1589.38,1180.17,568.81,9,12,10,10,8,0.8888888888888888,0.6666666666666666,0.8,0.8,339,786,751,740,668,34,332,366,388,403,829.65,568.81,457.34,394.57,270.01
엔젠바이오,354200,16150,50,2008.0,,KOSDAQ  코스닥 기타서비스,FICS  의료 장비 및 서비스,A,A,,,,14.0,15.0,25.0,,,1.7857142857142858,1.6666666666666667, , ,111,134,494, , ,139,99,79, , ,-28,36,414, , ,,,239.31, ,0, , , ,,,,, ,494, , , , ,79, , , , ,239.31, , , 
라이프시맨틱스,347700,9470,-30,958.0,,KOSDAQ  코스닥 IT S/W & SVC,FICS  의료 장비 및 서비스,A,A,,,24.0,7.0,12.0,27.0,,1.125,3.857142857142857,2.25, ,29,82,63,95, ,47,76,98,74, ,-18,6,-35,22, ,,32.26,,, ,0, , , ,,,,, ,95, , , , ,74, , , , ,, , , 
앱클론,174900,17750,0,2712.0,,KOSDAQ  코스닥 제조,FICS  바이오,C,C,,31.0,35.0,39.0,144.0,28.0,0.9032258064516129,0.8,0.717948717948718,0.19444444444444445,160,209,287,470,401,40,35,100,116,108,120,174,187,354,293,292.83,411.54,422.32,834.63,283.94, ,0, , , ,,,,, ,401, , , , ,108, , , , ,283.94, , , 
